Algoritmo (operador de mutacion),Hipervolumen,IGD,Epsilon,Cardinalidad del cto. de soluciones no-dominadas
j3057_9 (mutacion actividades),75449.77,12.7689,2.0,35
j3057_9 (mutacion actividades),75055.37,11.4315,2.0,35
j3057_9 (mutacion actividades),74122.23,11.0677,2.0,34
j3057_9 (mutacion actividades),73979.52,17.4583,30.8,31
j3057_9 (mutacion actividades),74988.57,8.5881,2.0,35
j3057_9 (mutacion actividades),74369.29,19.1271,61.6,28
j3057_9 (mutacion actividades),74892.36,18.8414,40.2,27
j3057_9 (mutacion actividades),73303.26,16.433,30.8,29
j3057_9 (mutacion actividades),73385.71,28.3463,88.8,26
j3057_9 (mutacion actividades),73386.18,23.8039,46.0,25
j3057_9 (mutacion modo),75897.11,5.8176,2.0,36
j3057_9 (mutacion modo),74713.43,15.058,2.0,35
j3057_9 (mutacion modo),74548.91,12.967,2.0,34
j3057_9 (mutacion modo),75055.37,7.5024,2.0,35
j3057_9 (mutacion modo),75034.37,8.2033,3.0,34
j3057_9 (mutacion modo),74183.45,16.4744,7.8,36
j3057_9 (mutacion modo),75799.11,6.689,2.0,35
j3057_9 (mutacion modo),74118.25,16.5881,7.8,29
j3057_9 (mutacion modo),74487.86,11.5234,30.8,29
j3057_9 (mutacion modo),75003.32,15.7189,11.4,31
